Birth Rate,Business Tax Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,GDP_Bin,Health_GDP_Impact,CO2_per_Energy,Dependency_Ratio
0.027,41.0,10.235306120475993,26.0,9.830486659651637,24.57606790102633,0.028,2.3978952727983707,239.0,0.064,0.0,0.155,66.0,65.0,0.0,1,0.37,0.59,0.041,18.70121180375123,0.236,17.72753358339242,19.970368654103833,Upper-Middle,0.6881299012287373,0.9450458176184312,0.6966101694915254
0.028,41.0,5.993961427306569,26.0,9.57073837671504,19.900370348009304,0.067,3.970291913552122,239.0,0.059,0.0,0.16,60.0,60.0,0.5,1,0.406,0.556,0.038,13.243431677332234,0.254,16.118095750958314,19.93800336967164,Low,1.3333248133166233,0.5670333720972528,0.7985611510791366
0.023,41.0,8.783855896643942,26.0,7.777373602657861,22.515217507535933,0.03,6.298949246855942,239.0,0.008,0.1,0.055,78.0,74.0,0.3,1,0.304,0.668,0.028,12.712293684447861,0.712,20.350025877585416,19.93800336967164,Lower-Middle,0.675456525226078,1.0007385231937853,0.49700598802395207
0.028,41.0,7.589841512182657,26.0,8.135346948906706,22.01909697494118,0.063,2.995732273553991,239.0,0.082,0.0,0.12,65.0,59.0,0.0,1,0.408,0.554,0.038,16.3188195086437,0.186,19.659054977894186,17.76675429577647,Low,1.3872031094212944,0.8308213748894331,0.8050541516245486
0.014,41.0,15.040808653274839,26.0,13.965097123765279,27.81207097940154,0.046,3.784189633918261,239.0,0.03,0.0,0.059,74.0,71.0,0.1,1,0.256,0.675,0.069,20.956474564796,0.359,23.575012260029762,23.374322316599077,High,1.2793552650524709,1.0050592073598592,0.48148148148148145
0.012,41.0,8.420021279663963,26.0,7.962067308753666,21.840848204477627,0.069,3.828641396489095,239.0,0.031,0.0,0.22649999999999998,75.0,68.0,0.0,1,0.219,0.656,0.125,15.301265791017167,0.526,18.488339401771974,18.675322970077882,Low,1.5070185261089564,0.9395177462503252,0.5243902439024389
0.008,41.0,10.60821739433914,26.0,9.502487461387123,25.868829171723412,0.061,5.267858159063328,239.0,0.02,0.3,0.095,84.0,78.0,0.8,1,0.173,0.717,0.11,15.712380661632444,1.0,22.82715605915054,23.24915446853602,High,1.5779985794751281,1.0100671325093926,0.3947001394700139
0.026,41.0,13.986656566966568,26.0,13.032874023673804,26.889962596070145,0.043,3.044522437723423,239.0,0.067,0.0,0.123,63.0,61.0,0.0,1,0.342,0.614,0.044,20.764658956983435,0.277,22.003643972752684,22.027807696465338,High,1.1562683916310161,0.9967064867375517,0.6286644951140066
0.022,41.0,12.481504995553038,26.0,11.94968896168544,25.82933864978753,0.02,2.772588722239781,239.0,0.041,0.0,0.185,69.0,65.0,0.0,1,0.307,0.647,0.047,19.157551460686307,0.42,22.327691207757972,21.885478707336908,High,0.5165867729957506,0.9638459296190334,0.5471406491499227
0.009,41.0,14.01402529465298,26.0,13.159591722494447,29.185199724012126,0.076,7.949797216161852,239.0,0.003,0.3,0.021,85.0,78.0,0.5,1,0.146,0.682,0.172,18.658673505998866,0.786,22.510012764518425,24.476128970825346,High,2.2180751790249214,0.9897195886227274,0.4662756598240468
0.015,41.0,11.757987051585369,26.0,10.482345586693945,23.62972912994961,0.042,3.970291913552122,239.0,0.038,0.0,0.12,71.0,60.0,0.0,1,0.277,0.655,0.068,16.515772307667014,0.557,19.814447122392348,19.99552721368724,Upper-Middle,0.9924486234578836,1.024005675740229,0.5267175572519084
0.018,41.0,11.247656987355347,26.0,9.889287203134987,23.436618790804065,0.061,5.267858159063328,239.0,0.045,0.1,0.12,69.0,61.0,0.5,1,0.26,0.681,0.059,16.94403383762432,0.594,20.350025877585416,19.93800336967164,Lower-Middle,1.429633746239048,1.032910306940677,0.4684287812041116
0.013,41.0,13.011570354586263,26.0,12.14505857288761,27.05411451524435,0.043,6.198478716492308,239.0,0.005,0.4,0.085,80.0,72.0,0.6,1,0.21,0.717,0.073,17.665830740526083,0.796,22.8665034368236,22.795808637060954,High,1.1633269241555069,0.9898449887034605,0.3947001394700139
0.02,41.0,8.41847721847708,26.0,7.748460023899697,21.037851701868938,0.047,2.6390573296152584,239.0,0.042,0.0,0.22649999999999998,72.0,65.0,0.0,1,0.35,0.596,0.055,15.404419383294154,0.353,16.811242881518265,17.147715103853763,Low,0.9887790299878401,0.9622810409465042,0.6795302013422818
0.031,41.0,6.880384082186005,26.0,9.57073837671504,21.272079504633343,0.033,2.4849066497880004,239.0,0.083,0.0,0.22649999999999998,63.0,60.0,0.0,1,0.435,0.529,0.036,15.499737153672845,0.22,18.5517090151307,15.894952224644102,Low,0.7019786236529003,0.6508896386407542,0.8903591682419659
0.009,41.0,7.400009517162692,26.0,9.57073837671504,22.53184881730093,0.061,5.267858159063328,239.0,0.02,0.1,0.099,80.0,75.0,0.3,1,0.228,0.698,0.074,12.975967881583452,1.0,21.887977927631056,19.93800336967164,Lower-Middle,1.3744427778553567,0.7000466053973343,0.4326647564469914
0.023,41.0,11.748819383769703,26.0,10.760261798384528,25.264318465819144,0.03,4.795790545596741,239.0,0.009,0.2,0.077,75.0,71.0,0.2,1,0.333,0.628,0.038,16.969133024926634,0.62,22.493631413657063,21.65661032377963,High,0.7579295539745743,0.9990270272200575,0.5907643312101911
0.025,41.0,6.214608098422191,26.0,9.57073837671504,20.252201076900473,0.071,5.093750200806762,239.0,0.035,0.0,0.13,70.0,69.0,0.0,1,0.413,0.549,0.038,12.516296238143232,0.277,19.586951684209556,17.909855136853043,Low,1.4379062764599335,0.5879067172934273,0.8214936247723131
0.019,41.0,8.923591197573002,26.0,7.7823903355874595,20.851567722126624,0.047,3.1354942159291497,239.0,0.049,0.0,0.22649999999999998,66.0,60.0,0.1,1,0.348,0.615,0.037,14.689926241051104,0.571,17.57671069691365,17.804494623047066,Low,0.9800236829399513,1.0160777256065898,0.6260162601626016
0.021,41.0,9.219201000408379,26.0,9.460476328353995,23.436618790804065,0.021,1.3862943611198906,239.0,0.059,0.1,0.153,64.0,60.0,0.0,1,0.307,0.645,0.047,17.69610483452732,0.27,19.088510121656228,17.216707972959764,Lower-Middle,0.4921689946068854,0.8813366343001958,0.5488372093023255
0.033,41.0,8.081784206935001,26.0,9.000729834944558,22.426968329827208,0.05,2.5649493574615367,239.0,0.06,0.0,0.095,63.0,61.0,0.0,1,0.404,0.558,0.038,16.95898062122189,0.134,19.204582292346984,18.50685844936773,Lower-Middle,1.1213484164913605,0.8081194413127355,0.7921146953405017
0.031,41.0,11.575430670321625,26.0,11.067700298288187,25.026687141490154,0.03,2.772588722239781,239.0,0.088,0.1,0.12,65.0,63.0,0.0,1,0.415,0.546,0.039,18.7841566140766,0.332,20.12724536893207,20.168139956026,Upper-Middle,0.7508006142447046,0.9592076687522318,0.8315018315018313
